l (nm),chl a70,chl a90,chl b70,chl b90
621.2,15210,14484,9092,8718
621.6,15162,14400,9140,8777
622,15082,14296,9190,8823
622.4,15020,14188,9227,8866
622.8,14927,14069,9299,8952
623.2,14848,13954,9369,9016
623.6,14744,13819,9460,9111
624,14647,13689,9541,9250
624.4,14567,13564,9663,9366
624.8,14443,13397,9780,9521
625.2,14326,13255,9916,9690
625.6,14201,13089,10055,9870
626,14059,12913,10212,10049
626.4,13900,12753,10372,10273
626.8,13772,12588,10588,10514
627.2,13612,12408,10804,10796
627.6,13455,12243,11018,11077
628,13305,12071,11280,11398
628.4,13160,11901,11559,11744
628.8,13016,11750,11879,12127
629.2,12839,11568,12177,12529
629.6,12684,11422,12552,12965
630,12534,11262,12932,13429
630.4,12394,11120,13346,13969
630.8,12261,10983,13787,14503
631.2,12102,10847,14263,15082
631.6,11953,10704,14752,15687
632,11835,10587,15302,16336
632.4,11699,10486,15868,17050
632.8,11572,10411,16464,17799
633.2,11462,10309,17098,18567
633.6,11345,10231,17779,19398
634,11278,10167,18483,20255
634.4,11191,10105,19223,21146
634.8,11106,10058,20012,22082
635.2,11023,10037,20823,23065
635.6,10980,10008,21691,24084
636,10928,9999,22575,25140
636.4,10907,10019,23508,26211
636.8,10863,10043,24456,27331
637.2,10874,10088,25471,28490
637.6,10877,10138,26467,29638
638,10894,10209,27516,30825
638.4,10947,10296,28594,32033
638.8,11011,10420,29662,33219
639.2,11071,10542,30776,34446
639.6,11170,10707,31874,35655
640,11286,10878,32999,36847
640.4,11419,11083,34097,38017
640.8,11590,11297,35218,39151
641.2,11760,11547,36293,40290
641.6,11959,11819,37368,41316
642,12179,12094,38403,42316
642.4,12435,12425,39415,43279
642.8,12699,12791,40399,44151
643.2,13001,13169,41305,44924
643.6,13352,13594,42173,45671
644,13709,14046,42983,46270
644.4,14097,14548,43737,46829
644.8,14524,15072,44366,47218
645.2,14954,15640,44939,47505
645.6,15477,16262,45467,47741
646,16026,16932,45887,47822
646.4,16601,17634,46186,47795
646.8,17222,18391,46409,47664
647.2,17887,19209,46511,47403
647.6,18604,20080,46540,47050
648,19381,21015,46452,46564
648.4,20176,21991,46275,45964
648.8,21022,23033,45969,45280
649.2,21981,24170,45615,44523
649.6,22951,25349,45128,43618
650,24004,26610,44575,42686
650.4,25139,27930,43913,41655
650.8,26303,29332,43209,40573
651.2,27516,30801,42378,39426
651.6,28817,32348,41479,38223
652,30187,33970,40545,36983
652.4,31592,35651,39519,35718
652.8,33086,37394,38486,34429
653.2,34675,39233,37376,33119
653.6,36293,41096,36220,31790
654,37965,43027,35038,30450
654.4,39702,45015,33864,29158
654.8,41492,47026,32642,27833
655.2,43331,49090,31421,26544
655.6,45180,51155,30187,25263
656,47101,53247,28969,24001
656.4,49038,55365,27784,22792
656.8,50972,57428,26586,21599
657.2,52934,59506,25403,20432
657.6,54874,61519,24220,19335
658,56827,63483,23069,18270
658.4,58722,65371,21955,17251
658.8,60585,67218,20892,16294
659.2,62390,68917,19813,15340
659.6,64140,70552,18791,14456
660,65799,72018,17802,13594
660.4,67401,73379,16876,12790
660.8,68871,74594,15961,12039
661.2,70257,75674,15081,11270
661.6,71448,76521,14192,10589
662,72576,77231,13380,9919
662.4,73531,77737,12611,9310
662.8,74307,78018,11873,8722
663.2,74973,78165,11197,8193
663.6,75452,78073,10553,7687
664,75769,77800,9959,7209
664.4,75854,77334,9359,6749
664.8,75815,76675,8814,6337
665.2,75591,75824,8293,5938
665.6,75178,74818,7792,5567
666,74581,73594,7317,5202
666.4,73845,72259,6837,4857
666.8,72930,70767,6444,4590
667.2,71840,69121,6030,4277
667.6,70602,67342,5683,3996
668,69255,65447,5337,3729
668.4,67755,63469,5021,3517
668.8,66145,61387,4701,3283
669.2,64405,59215,4395,3063
669.6,62579,57028,4118,2872
670,60665,54785,3873,2692
670.4,58721,52531,3633,2526
670.8,56642,50242,3396,2371
671.2,54600,47953,3201,2239
671.6,52459,45680,2978,2078
672,50310,43396,2795,1946
672.4,48185,41199,2633,1828
672.8,46038,38988,2482,1727
673.2,43895,36842,2314,1594
673.6,41802,34764,2176,1505
674,39683,32716,2044,1410
674.4,37668,30782,1924,1328
674.8,35619,28855,1783,1273
675.2,33671,27037,1695,1173
675.6,31788,25306,1578,1097
676,29938,23619,1489,1060
676.4,28186,22062,1391,990
676.8,26453,20535,1308,926
677.2,24832,19139,1221,860
677.6,23256,17782,1157,819
678,21769,16513,1083,771
678.4,20323,15318,1011,734
678.8,18966,14199,948,702
679.2,17678,13132,910,667
679.6,16479,12171,845,635
680,15317,11229,815,587
680.4,14248,10404,754,585
680.8,13220,9612,718,553
681.2,12243,8858,653,521
681.6,11376,8197,618,503
682,10518,7537,580,459
682.4,9760,6959,558,439
682.8,9017,6416,538,439
683.2,8370,5913,515,400
683.6,7733,5451,490,393
684,7133,5008,450,369
684.4,6598,4628,430,364
684.8,6071,4273,406,344
685.2,5620,3926,374,318
685.6,5189,3631,370,322
686,4807,3352,336,311
686.4,4425,3082,341,297
686.8,4112,2871,304,290
687.2,3777,2666,284,267
687.6,3490,2457,287,277
688,3224,2267,256,270
688.4,3009,2116,265,251
688.8,2770,1954,271,250
689.2,2547,1819,238,244
689.6,2379,1699,224,233
690,2198,1591,222,246
690.4,2045,1464,218,232
690.8,1891,1354,195,204
691.2,1744,1274,187,211
691.6,1626,1194,185,219
692,1518,1118,188,219
692.4,1400,1027,185,188
692.8,1270,973,149,202
693.2,1200,915,163,205
693.6,1121,863,158,183
694,1026,789,145,176
694.4,964,741,125,179
694.8,914,705,138,144
695.2,834,642,115,153
695.6,765,619,105,145
696,758,601,96,148
696.4,681,561,120,157
696.8,607,529,94,140
697.2,598,499,106,133
697.6,559,488,115,168
698,550,455,111,162
698.4,483,429,80,137
698.8,436,400,71,121
699.2,436,394,119,136
699.6,396,378,66,140
700,398,369,100,116
700.4,387,348,93,121
700.8,336,327,91,125
701.2,325,320,108,145
701.6,300,292,94,118
702,291,278,65,143
702.4,271,276,84,103
702.8,240,262,80,106
703.2,253,271,76,119
703.6,243,238,70,120
704,222,236,50,107
704.4,180,226,28,105
704.8,203,219,69,96
705.2,191,207,66,124
705.6,171,195,64,90
706,138,179,21,87
706.4,155,191,66,121
706.8,163,181,53,82
707.2,122,164,45,97
707.6,111,139,31,69
708,116,147,8,51
708.4,86,127,39,82
708.8,88,149,36,94
709.2,104,137,20,68
709.6,55,115,-3,72
710,60,133,10,67
710.4,61,100,26,33
710.8,58,107,50,61
711.2,78,97,19,47
711.6,47,88,15,67
712,62,91,23,54
712.4,5.40E+01,77,2.60E+01,61
712.8,44,81,24,79
713.2,5.10E+01,78,1.40E+01,45
713.6,1.90E+01,48,2.00E+00,44
714,2.10E+01,62,-1.00E+00,45
714.4,5.10E+01,71,1.70E+01,54
714.8,1.00E+00,55,-5.00E+00,36
715.2,2.60E+01,68,6.00E+00,51
715.6,2.20E+01,46,-9.00E+00,36
716,2.90E+01,55,1.20E+01,39
